WT.GSM130365	WT.GSM130366	WT.GSM130367	KO.GSM130368	KO.GSM130369	KO.GSM130370
100012_at	511.1	525.7	598.8	1294.3	1138.6	1043
100023_at	4254.2	4277.5	4449.5	6037.6	6181.5	6162.7
100026_at	2556.7	2707.7	3028.6	5066.3	4495.7	4344.2
100035_at	12.7	14.9	10.8	32.8	34.5	28
100064_f_at	4747	5041.1	4033.2	1565.2	1613.9	1732.8
100086_at	1046.3	936.7	903.7	1415.2	1318.4	1223.3
100123_f_at	5943.6	5557.4	5513.9	4747.4	4487.1	4224.2
100156_at	4028.7	3798.9	4365.8	5382.5	5262.7	4936.9
100374_at	649.6	582	510	187.6	261.6	337.1
100379_f_at	8166.5	7793	8189.3	10639.5	11007.7	10129.6
100453_at	245.7	259.3	283.5	512.5	562.7	525.2
100522_s_at	3262.9	3373.9	3251.6	5498.2	5245.8	5160.3
100569_at	4414.1	4618.9	5109.6	3299	2666.3	2922.2
100573_f_at	819.5	849.5	834.1	1031.4	987.7	1006.8
100575_at	695.9	770.3	668.8	1069.6	1289.9	1133.2
100600_at	967.4	930.4	821.5	529.7	452.8	473
100610_at	3371	3176	2971.6	4182.8	4312.4	4668.9
100618_f_at	2193.3	2307	2206.2	5391.8	5453.4	5365.1
100703_at	122.7	109.1	88.2	35.9	18.5	56.5
100706_f_at	1358	1225.5	1370.6	712.9	591.8	747.9
100716_at	28.9	30	49.4	190.4	221.5	157.5
100717_at	2428.5	2436	2781.2	1946.3	1620.5	1772.4
100780_at	20269	19657.1	20338.8	21697.8	21274.6	22057.3
100885_at	1046.2	959.6	972.3	1346.4	1323.2	1326.2
100914_at	1296.9	966.8	1217.8	4866.9	4658.1	4473.3
100928_at	3584.1	3474	3677.1	2535.2	2364.8	2796.3
100951_at	607.8	650.4	697.3	452.9	498.3	474.1
100959_at	385.2	465.1	407.6	1011.8	1018	881.5
100990_g_at	434.1	463.5	464.2	386.1	368.5	383.6
100992_at	3066.2	3336.9	3103.5	1903.2	1943	2126.4
101030_at	1043.7	1082.4	992.4	689.6	716.7	797.4
101040_at	585.2	534.7	494.2	283.3	304.1	375.4
101045_at	676.5	639.4	637.8	971.7	874.5	924
101180_at	203.3	236.2	257.8	449.4	438.7	468.3
101276_at	5.2	7.2	8.5	14.9	12	14.1
101368_at	980.4	1180.1	1337.4	4940.2	4749.3	4324.1
101387_at	501.2	473.3	530.4	362	381.7	378.7
101451_at	279.5	276.9	263.9	740.3	752.4	779.3
101461_f_at	2099	1975.7	1879.9	2735.9	2642.4	2844.5
101473_at	63.1	109.9	86.4	344	257.4	290.4
101508_at	308.2	272.8	269.2	145.2	107.1	170
101509_at	3680.4	3965.2	3460.3	6418.5	6683.3	6700.7
101528_at	1622.2	1674.7	1404.6	2076	2093.5	2231.2
101560_at	862.7	919.5	1038.5	310.8	287.9	325.5
101561_at	9722.8	9019.8	8959.5	20017.5	18217.3	19665.9
101585_at	1191.8	1149.6	1095.4	1778.5	1867.4	1643.5
101593_at	236.4	271	268.8	316	340.4	348.2
101635_f_at	137.7	105.6	123.1	38.5	28.7	25
101708_at	322	303.8	243.7	597.9	570.5	661.4
101844_at	541	617.5	609.2	451	365.4	386.7
101871_f_at	14.2	14.5	10.5	24.1	22.8	28.8
101876_s_at	313.3	263.6	258.5	135.5	177.1	104.2
101881_g_at	2237.7	2071.6	2064.9	1719.7	1624.2	1689.1
101882_s_at	2055.3	1885.8	1966.4	1595	1487	1505.3
101883_s_at	54.5	69.9	35.1	3028.3	3280.2	3243.9
101908_s_at	211.1	232.9	204.1	106.2	117.1	126.8
101913_at	500.2	619.7	585.4	807.5	986.9	944.1
101937_s_at	257.4	258.7	285	146.5	122.9	132.4
101960_at	747.1	753.7	756	894.9	906	887.9
102001_at	2379.2	1695	1988.6	3541.4	3204.2	3211.2
102002_at	441.7	464.3	353.4	783.8	725.5	806.6
102097_f_at	239.3	191.2	227.9	94.5	38	64.3
102130_f_at	692.5	676.1	582.3	1046.3	1214	1189.1
102195_at	430	468.5	382.5	575.7	618.7	574.2
102222_at	495.1	631.4	513.5	1106.4	887.1	954.1
102259_at	498.5	527	528.9	815.8	809.1	758.1
102315_at	3034.2	3234.8	3154.6	2292.1	2158.9	2340.9
102332_at	776.1	803.4	815.7	1447.7	1435.5	1490.9
102370_at	860.3	878.9	876.4	582.4	503.4	469.3
102395_at	311.6	269.2	252.1	131.4	102.5	154.5
102399_at	1229.7	1372.8	1380.7	911.3	1048.4	965.7
102418_at	931.6	1050.7	986.2	2525.1	2270.3	2250.3
102423_at	76.7	93.9	78.4	48.8	55.8	38
102431_at	72.5	165.7	50.6	527.2	495.4	620.7
102623_at	126.2	106.7	86.1	20.8	27.4	10.9
102670_at	581.8	570.7	589.6	919.1	951.7	919.7
102701_at	86.2	112.3	93.6	203.4	233.8	220.4
102712_at	25.6	47.2	37.5	265.3	246.4	199.1
102726_at	14.2	7.7	10.6	57.6	49.7	55.2
102736_at	3221.3	3323.8	3091.5	1595.5	2004.3	2064.9
102742_g_at	101	160	65.3	397.8	356.8	409.3
102764_at	2613.3	2745.5	2455.2	5469	4979.7	5183.5
102772_at	725.5	699.5	810.6	541.1	463	499.8
102792_at	2191.2	2003.6	2107.4	3071.2	3062.8	2917.5
102807_at	1728.6	1693.2	1565.3	1235.8	1262.2	1215.5
102811_at	620.9	679.1	617.4	389.3	450.5	487.2
102815_at	2426.6	2312	2086.7	1391.8	1451.3	1613.6
102827_at	762	727.3	754.8	564.1	559	555.9
102828_at	131.5	150.2	98.7	199.3	241.3	228.1
102845_at	946.1	992.5	888.7	739.1	755.5	676.3
102870_at	238.1	237.5	296.9	572.7	459.2	501.9
102905_at	201.9	193.1	194.6	136.7	138	157.1
102925_at	1950.7	1927.6	1866.1	4181.5	4420.3	4843.5
103027_at	879.5	930.8	764	1347.8	1382	1457.1
103046_at	902.1	873.8	809.3	306.4	467.2	352.5
103048_at	1253.2	1253	1044.5	666.9	694.2	505.4
103065_at	1976.1	1902.8	1693.9	2684.1	2424.2	2666
103207_at	693.8	650.4	559.1	1167.5	989.3	1177.5
103228_at	283	288.2	279.8	683	723.2	776.1
103244_at	28	53.5	33.5	236.8	206.6	204.5
103288_at	391.8	375.4	386.6	304.9	279.1	296.7
103306_at	119.6	96.4	126	349.1	348.4	340.5
103345_at	1352.1	1329.6	1369.3	1069.3	1034.9	962.4
103371_at	1844.8	2020.2	1741.7	1286.3	1176.1	1466.8
103416_at	3193.3	3334	3144.1	2728.2	2660.9	2785.2
103423_at	287.8	314.1	116.8	555.6	733.4	633.5
103501_at	853.9	822.3	1006.8	1521.9	1380.8	1543.1
103538_at	217.6	196.5	197.2	681.7	656.8	599.6
103563_at	573.3	496.9	499.5	734.7	703.5	728.3
103581_at	763.5	698.7	797.7	273.1	343.1	375.6
103635_at	115.1	102.8	105.8	250.7	265	311.3
103638_at	225.7	208	184.5	94.4	112.6	123.4
103647_at	529	614.8	553.4	800.5	725.7	791.5
103662_at	9.5	10.9	13	18.1	18.9	22.6
103674_f_at	362	418.4	357.6	14.1	24.3	59.7
103695_f_at	1262.9	1378.8	1138.7	1841.7	1907.3	1947.4
103709_at	572.9	699.7	612.1	399.1	350.9	438.8
103728_at	318.9	361.5	331.2	468.8	486.9	456
103729_at	459.2	601.8	427.8	1206.8	1256.2	1087.7
103761_at	1078.9	1098.5	1264.7	2715.4	2709.2	2751.8
103800_at	556.9	599.7	680.9	1022.9	970.4	916.3
103817_at	1744.3	1963	1964.7	2635.7	2489.7	2412
103818_at	1915.1	2160.5	2173.9	1248.4	1221.8	1069.9
103876_at	1384.8	1441.8	1606.1	2057.9	1885.8	1852.8
103899_at	429.2	397.1	369.3	265	242.4	267.2
103945_at	148.6	120.4	109	16.8	52.4	23.8
103953_at	279.9	310.9	287.2	353.8	361.6	381.1
104004_at	173.5	185.6	157.7	94.4	73.1	88.7
104010_at	401.2	351	432.2	107.1	143.3	182
