Tratamiento	Variable1	Variable2
1	2.2	0.2
1	2.3	0.3
1	2.4	0.4
1	4.5	0.5
1	5.4	0.2
1	5.4	0.4
1	5.4	0.4
1	4.0	1.0
1	4.0	0.9
1	4.4	0.8
2	0.0	0.9
2	0.0	0.8
2	4.0	0.9
2	5.0	1.2
2	6.0	1.3
2	8.0	1.3
2	9.0	1.2
2	8.0	1.4
2	0.0	2.0
2	9.0	2.0
3	9.0	3.2
3	8.0	3.4
3	7.8	4.5
3	8.9	5.6
3	12.0	6.5
3	2.0	5.4
3	12.0	4.5
3	11.0	6.4
3	14.0	6.7
3	3.0	6.9
4	45.0	9.0
4	54.0	9.8
4	46.0	9.8
4	56.0	9.8
4	76.0	9.9
4	54.0	9.0
4	54.0	7.0
4	34.0	8.0
4	45.0	9.0
4	44.0	6.0
5	22.0	6.8
5	33.0	9.0
5	33.0	9.0
5	33.0	9.0
5	33.0	9.89
5	33.0	9.90
5	32.0	6.90
5	32.0	9.90
5	43.0	9.99
5	55.0	9.80
